carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
Scape,2 Orchard Link Singapore 237978,237978,06:01 AM - 06:00 PM: First hour $2.40; Subsequent 30 mins $1.40,06:01 PM - 06:00 AM: First hour $2.40; Subsequent 30 mins $1.40,12:00 AM - 12:00 AM: $1.60 per hour,,,,,,06:01 AM - 06:00 PM: First hour $2.40; Subsequent 30 mins $1.40,06:01 PM - 06:00 AM: First hour $2.40; Subsequent 30 mins $1.40,12:00 AM - 12:00 AM: $1.60 per hour,,,,06:01 AM - 06:00 PM: First hour $2.40; Subsequent 30 mins $1.40,06:01 PM - 06:00 AM: First hour $2.40; Subsequent 30 mins $1.40,12:00 AM - 12:00 AM: $1.60 per hour,,,,
Tekka Place,"2 Serangoon Road, S(218227",218227,07:00 AM - 06:00 PM: 15 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,06:00 PM - 12:00 AM: 15 mins grace period; $3.00 per entry,12:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $1.00,07:00 AM - 07:00 AM: hour grace period; $2.00 per entry,,,,,07:00 AM - 06:00 PM: 15 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,06:00 PM - 12:00 AM: 15 mins grace period; $3.00 per entry,12:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $1.00,07:00 AM - 07:00 AM: hour grace period; $2.00 per entry,,,07:00 AM - 06:00 PM: 15 mins grace period; First hour $2.00; Subsequent 30 mins $1.00,06:00 PM - 12:00 AM: 15 mins grace period; $3.00 per entry,12:00 AM - 07:00 AM: 15 mins grace period; Per 30 mins $1.00,07:00 AM - 07:00 AM: hour grace period; $2.00 per entry,,,
12 Tai Seng Link,12 Tai Seng Link Singapore 534233,534233,07:00 AM - 06:59 AM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,07:00 AM - 06:59 AM: 10 mins grace period; $0.80 per entry,12:00 AM - 12:00 AM: 10 mins grace period; First hour $2.80; Subsequent 30 mins $1.40,,,,,,07:00 AM - 06:59 AM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,07:00 AM - 06:59 AM: 10 mins grace period; $0.80 per entry,12:00 AM - 12:00 AM: 10 mins grace period; First hour $2.80; Subsequent 30 mins $1.40,,,,07:00 AM - 06:59 AM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,07:00 AM - 06:59 AM: 10 mins grace period; $0.80 per entry,12:00 AM - 12:00 AM: 10 mins grace period; First hour $2.80; Subsequent 30 mins $1.40,,,,
25 Lorong 8 Toa Payoh,"25 Lorong 8 Toa Payoh, Singapore 319263",319263,06:00 AM - 06:00 AM: $1.30 per 30 mins,,,,,,,,06:00 AM - 06:00 AM: $1.30 per 30 mins,,,,,,06:00 AM - 06:00 AM: $1.30 per 30 mins,,,,,,
15 Changi Business Park,15 Changi Business Park Singapore 486057,486057,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $4.00,,,,,,,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $4.00,,,,,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $4.00,,,,,
18 New Industrial Road,18 New Industrial Road Singapore 536205,536205,07:00 AM - 06:00 PM: First hour $1.28; Subsequent 30 mins $0.64,06:00 PM - 07:00 AM: $2.00 per 13 hours,,,,,,,07:00 AM - 06:00 PM: First hour $1.28; Subsequent 30 mins $0.64,06:00 PM - 07:00 AM: $2.00 per 13 hours,,,,,07:00 AM - 07:00 AM: $2.00 per 1 day,,,,,,
35-43 Kranji Way,43 Kranji Way Singapore 739448,739448,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: Free parking,,,,,,,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: Free parking,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
351 on Braddell,351 Braddell Road Singapore 579713,579713,07:00 AM - 10:00 PM: 10 mins grace period; Per 30 mins $0.60,10:00 PM - 07:00 AM: 10 mins grace period; $2.00 per entry,,,,,,,07:00 AM - 10:00 PM: 10 mins grace period; Per 30 mins $0.60,10:00 PM - 07:00 AM: 10 mins grace period; $2.00 per entry,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $2.00 per entry,,,,,,
18 Tai Seng,18 Tai Seng Street Singapore 539775,539775,06:00 AM - 05:00 PM: $1.00 per 30 mins,05:00 PM - 12:00 AM: $2.00 per entry,12:00 AM - 06:00 AM: $3.00 per hour; Capped at $15.00,06:00 AM - 02:00 PM: $1.00 per 30 mins,02:00 PM - 12:00 AM: $2.00 per entry,,,,Same as weekdays,,,,,,06:00 AM - 12:00 AM: $2.00 per entry,12:00 AM - 06:00 AM: $3.00 per hour; Capped at $15.00,,,,,
9@Tagore,9 Tagore Lane Singapore 787472,787472,07:00 AM - 06:00 PM: 15 mins grace period; Per 30 mins $0.75,06:00 PM - 10:00 PM: 15 mins grace period; $1.50 per entry,10:00 PM - 07:00 AM: 15 mins grace period; $3.00 per entry,,,,,,07:00 AM - 06:00 PM: 15 mins grace period; Per 30 mins $0.75,06:00 PM - 10:00 PM: 15 mins grace period; $1.50 per entry,10:00 PM - 07:00 AM: 15 mins grace period; $3.00 per entry,,,,12:00 AM - 12:00 AM: 15 mins grace period; $3.00 per entry,,,,,,
Admirax,8 Admiralty Street Singapore 757438,757438,07:00 AM - 10:00 PM: $1.00 per hour,10:00 PM - 07:00 AM: No parking,07:00 AM - 03:00 PM: $1.00 per hour,,,,,,Same as weekdays,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
AMK Autopoint,10 Ang Mo Kio Industrial Park 2A Singapore 568047,568047,12:00 AM - 07:00 AM: 5 mins grace period; $2.00 per entry,07:00 AM - 10:30 PM: 5 mins grace period; Per 30 mins $0.50,10:30 PM - 12:00 AM: 5 mins grace period; $2.00 per entry,,,,,,12:00 AM - 07:00 AM: 5 mins grace period; $2.00 per entry,07:00 AM - 10:30 PM: 5 mins grace period; Per 30 mins $0.50,10:30 PM - 12:00 AM: 5 mins grace period; $2.00 per entry,,,,12:00 AM - 07:00 AM: 5 mins grace period; $2.00 per entry,07:00 AM - 10:30 PM: Free parking,10:30 PM - 12:00 AM: 5 mins grace period; $2.00 per entry,,,,
AMK Hub,53 Ang Mo Kio Avenue 3 Singapore 569933,569933,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.70; Subsequent 30 mins $0.85,12:00 AM - 12:00 AM: 10 mins grace period; $1.70 per entry,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.85; Subsequent 30 mins $0.95,12:00 AM - 12:00 AM: 10 mins grace period; $1.70 per entry,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.85; Subsequent 30 mins $0.95,12:00 AM - 12:00 AM: 10 mins grace period; $1.70 per entry,,,,,
Amtech Building,157 Sin Ming Road Singapore 575624,575624,06:00 AM - 06:00 PM: First hour $1.30; Subsequent 30 mins $0.90,06:00 PM - 12:00 AM: $2.40 per entry,12:00 AM - 06:00 AM: $4.00 per entry,,,,,,06:00 AM - 06:00 PM: First hour $1.30; Subsequent 30 mins $0.90,06:00 PM - 12:00 AM: $2.40 per entry,12:00 AM - 06:00 AM: $4.00 per entry,,,,06:00 AM - 12:00 AM: $2.00 per entry,12:00 AM - 06:00 AM: No parking,,,,,
Ang Mo Kio Community Hospital,17 Ang Mo Kio Avenue 9 Singapore 569766,569766,07:00 AM - 10:00 PM: $0.86 per 30 mins,10:00 PM - 07:00 AM: $3.10 per entry,,,,,,,07:00 AM - 10:00 PM: $0.86 per 30 mins,10:00 PM - 07:00 AM: $3.10 per entry,,,,,12:00 AM - 12:00 AM: $3.10 per entry,,,,,,
10 Raeburn Park,"10 Raeburn Park, Singapore 088702",088702,07:00 AM - 04:59 PM: First hour $2.57; Subsequent 30 mins $1.26,05:00 PM - 06:59 AM: $2.57 per entry,,,,,,,07:00 AM - 04:59 PM: First hour $2.57; Subsequent 30 mins $1.26,05:00 PM - 06:59 AM: $2.57 per entry,,,,,07:00 AM - 06:59 AM: $2.57 per entry,,,,,,
888 Plaza,888 Woodlands Drive 5 Singapore 731888,731888,07:00 AM - 12:00 PM: 10 mins grace period; Per hour $1.00,12:00 PM - 02:00 PM: Free parking,02:00 PM - 05:00 PM: 10 mins grace period; Per hour $1.00,05:00 PM - 12:00 AM: 10 mins grace period; $1.00 per entry,12:00 AM - 07:00 AM: 10 mins grace period; $2.00 per entry,,,,07:00 AM - 12:00 PM: 10 mins grace period; Per hour $1.00,12:00 PM - 02:00 PM: Free parking,02:00 PM - 05:00 PM: 10 mins grace period; Per hour $1.00,05:00 PM - 12:00 AM: 10 mins grace period; $1.00 per entry,12:00 AM - 07:00 AM: 10 mins grace period; $2.00 per entry,,07:00 AM - 12:00 PM: 10 mins grace period; Per hour $1.00,12:00 PM - 02:00 PM: Free parking,02:00 PM - 05:00 PM: 10 mins grace period; Per hour $1.00,05:00 PM - 12:00 AM: 10 mins grace period; $1.00 per entry,12:00 AM - 07:00 AM: 10 mins grace period; $2.00 per entry,,
10 Winstedt,10 Winstedt Road Singapore 227977,227977,06:00 AM - 06:59 PM: $1.00 per 30 mins,07:00 PM - 11:59 PM: $3.00 per entry,12:00 AM - 05:59 AM: $5.00 per entry,06:00 AM - 04:59 PM: $1.00 per 30 mins,05:00 PM - 11:59 PM: $3.00 per entry,,,,Same as weekdays,,,,,,06:00 AM - 11:59 PM: $3.00 per entry,12:00 AM - 05:59 AM: $5.00 per entry,,,,,
100 AM Shopping Mall,100 Tras Street Singapore 079027,079027,08:00 AM - 04:59 PM: $2.00 per 30 mins,05:00 PM - 07:59 AM: $3.00 per entry,,,,,,,08:00 AM - 04:59 PM: $2.00 per 30 mins,05:00 PM - 07:59 AM: $3.00 per entry,,,,,08:00 AM - 07:59 AM: $3.00 per entry,,,,,,
Ang Mo Kio Polyclinic (NHGP),21 Ang Mo Kio Central 2 Singapore 569666,569666,07:00 AM - 05:00 PM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,05:00 PM - 08:00 PM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,08:00 PM - 07:00 AM: No parking,07:00 AM - 04:00 PM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,04:00 PM - 12:00 AM: No parking,,,,Same as weekdays,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Ark @ Gambas,"7 Gambas Crescent, Singapore 757087",757087,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.96,10:30 PM - 07:00 AM: 10 mins grace period; $3.21 per entry,,,,,,,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.96,10:30 PM - 07:00 AM: 10 mins grace period; $3.21 per entry,,,,,07:00 AM - 10:30 PM: 10 mins grace period; $2.14 per entry,10:30 PM - 07:00 AM: 10 mins grace period; $3.21 per entry,,,,,
1557 Keppel Road,1557 Keppel Road Singapore 089066,089066,07:00 AM - 05:59 PM: First 2 hours $5.45; Subsequent 30 mins $1.26,06:00 PM - 07:00 AM: $2.67 per entry,07:00 AM - 05:59 PM: First hour $2.57; Subsequent 30 mins $1.26,,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $2.67 per entry,,,,,,
183 Longhaus,183 Upper Thompson Road Singapore 574429,574429,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,
